จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ
,ฮอด,"8,635",40.43,"12,725",59.57,"7,325",37.71,"12,100",62.29
,นอกเขตจงหวดั เชยงใหม,"4,729",51.73,"4,412",48.27,"4,292",47.09,"4,822",52.91
เชยงใหม ผลรวม,"390,046",45.92,"459,399",54.08,"340,577",42.63,"458,384",57.37,
ตรัง,กนตัง,"32,031",84.27,"5,981",15.73,"30,039",81.73,"6,713",18.27
,นาโยง,"18,576",85.71,"3,097",14.29,"16,999",83.03,"3,475",16.97
,ปะเหลียน,"25,087",85.47,"4,265",14.53,"23,237",82.3,"4,997",17.7
,เมองตรัง,"63,247",88.27,"8,408",11.73,"59,517",85.88,"9,784",14.12
,ยานตาขาว,"24,444",85.64,"4,100",14.36,"22,764",82.94,"4,683",17.06
,รัษฎา,"11,817",87.95,"1,619",12.05,"11,067",85.21,"1,921",14.79
,วงัวเิศษ,"17,316",86.46,"2,711",13.54,"16,205",83.75,"3,145",16.25
,สิเกา,"14,801",83.92,"2,837",16.08,"13,759",81.2,"3,186",18.8
